Zip Code ZCTA,2010 Census Population,Country
1001,16769,US
1002,29049,US
1003,10372,US
1005,5079,US
1007,14649,US
1008,1263,US
1009,741,US
1010,3609,US
1011,1370,US
1012,661,US
1013,23188,US
1020,29668,US
1022,2451,US
1026,946,US
1027,17660,US
1028,15720,US
1029,789,US
1030,11669,US
1031,1308,US
1032,570,US
1033,6227,US
1034,2021,US
1035,5250,US
1036,5109,US
1037,838,US
1038,2545,US
1039,1336,US
1040,39880,US
1050,2530,US
1053,1685,US
1054,1851,US
1056,21103,US
1057,8534,US
1060,15284,US
1062,11150,US
1063,430,US
1066,64,US
1068,1902,US
1069,8469,US
1070,629,US
1071,1596,US
1072,1478,US
1073,5792,US
1074,319,US
1075,17527,US
1077,9502,US
1079,692,US
1080,2334,US
1081,1698,US
1082,10322,US
1083,2888,US
1084,176,US
1085,41117,US
1086,687,US
1088,670,US
1089,28391,US
1092,1394,US
1093,325,US
1094,351,US
1095,14319,US
1096,2217,US
1097,111,US
1098,1101,US
1103,2479,US
1104,22865,US
1105,12350,US
1106,16021,US
1107,11611,US
1108,26688,US
1109,30250,US
1118,14071,US
1119,14152,US
1128,2631,US
1129,7019,US
1151,8698,US
1199,0,US
1201,46504,US
1220,8603,US
1222,829,US
1223,2314,US
1224,182,US
1225,3117,US
1226,6945,US
1229,95,US
1230,8430,US
1235,2766,US
1236,1509,US
1237,2496,US
1238,6047,US
1240,4534,US
1242,476,US
1243,334,US
1244,151,US
1245,985,US
1247,16087,US
1253,731,US
1254,972,US
1255,915,US
1256,692,US
1257,2121,US
1258,374,US
1259,635,US
1260,240,US
1262,1238,US
1264,137,US
1266,1463,US
1267,7989,US
1270,778,US
1301,17700,US
1330,1506,US
1331,13263,US
1337,2596,US
1338,187,US
1339,1438,US
1340,1701,US
1341,1833,US
1342,1492,US
1343,75,US
1344,1498,US
1346,533,US
1347,166,US
1349,1091,US
1350,121,US
1351,2270,US
1354,1500,US
1355,878,US
1360,3032,US
1364,7969,US
1366,1277,US
1367,522,US
1368,1261,US
1370,4084,US
1373,4600,US
1375,3684,US
1376,5247,US
1378,774,US
1379,813,US
1420,40337,US
1430,6089,US
1431,3074,US
1432,7089,US
1434,1795,US
1436,3336,US
1438,559,US
1440,20347,US
1450,10646,US
1451,4747,US
1452,4382,US
1453,40883,US
1460,8924,US
1462,10086,US
1463,11497,US
1464,7211,US
1467,316,US
1468,4021,US
1469,6801,US
1473,7277,US
1474,2125,US
1475,10270,US
1501,16075,US
1503,2866,US
1504,9026,US
1505,4355,US
1506,3390,US
1507,12981,US
1510,13606,US
1515,2183,US
1516,8500,US
1518,2974,US
1519,6595,US
1520,13997,US
1521,2481,US
1522,3310,US
1523,7582,US
1524,6696,US
1525,290,US
1527,13246,US
1529,3190,US
1531,999,US
1532,14155,US
1534,5631,US
1535,4680,US
1536,6888,US
1537,2248,US
1540,11291,US
1541,3413,US
1542,2202,US
1543,7973,US
1545,35299,US
1550,16719,US
1560,4527,US
1561,330,US
1562,11688,US
1564,7808,US
1566,6294,US
1568,7480,US
1569,13569,US
1570,16767,US
1571,11390,US
1581,18272,US
1583,7591,US
1585,4554,US
1588,9733,US
1590,8875,US
1602,22819,US
1603,19916,US
1604,34677,US
1605,26221,US
1606,19077,US
1607,8351,US
1608,3888,US
1609,22421,US
1610,23945,US
1611,2242,US
1612,4845,US
1701,31217,US
1702,37206,US
1718,469,US
1719,4996,US
1720,21361,US
1721,16593,US
1730,13221,US
1731,1396,US
1740,4897,US
